ProviderName,SpecialtyName,startHour,endHour,Cost,City,status,error
MelissaDodrill,famili practic general practic,9,14,67,shinnston,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (11, 4, 4, 69). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarkFildes,specialist cardiolog,10,15,43,youngstown naustintown,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (12, 4, 5, 70). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
RobinetteReed,medic practition certifi nurs practition,10,16,39,goodyear,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (13, 4, 6, 71). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
BobbieLaker,xpc sw,10,16,56,east saint loui ne saint loui ne st loui,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (14, 4, 7, 72). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
GlennDubov,intern medicin,9,16,22,south river,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (15, 4, 8, 73). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
GlennDubov,nephrolog,8,14,63,south river,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (15, 4, 8, 74). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MeghanWaintraub,xpa alh,9,16,55,boston,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (17, 4, 9, 75). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JianZhu,intern medicin,9,15,24,norfolk,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (18, 4, 10, 73). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ScottStaatz,optometri,8,14,28,adjunta njard de adjunta nurb san joaquin,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (19, 4, 11, 76). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
NoelHan,famili practic,9,16,23,houston,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (20, 4, 12, 77). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
RichardJohnson,prevent medicin,8,15,47,largo,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (21, 4, 13, 78). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
WilliamDichtel,otolaryngologist ent,10,16,67,salem nbennett spring nfort lewi nglenvar nhang rock nkessler mill nmason cove,False,"[42000] [Microsoft][ODBC SQL Server Driver][SQL Server]String or binary data would be truncated in table 'PotatoDataMartv1.dbo.LocationDim', column 'City'. Truncated value: 'salem nbennett spring nfort lewi nglenvar nhang ro'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JohnMaskell,emerg medicin,8,15,56,adjunta njard de adjunta nurb san joaquin,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (23, 4, 11, 80). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
RichardSchutzer,vs gs,8,15,29,forest hill nflush nforest hls nparksid,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (24, 4, 15, 81). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
DonaldPatton,fp em,8,15,45,escanaba,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (25, 4, 16, 82). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Subhash Mitra,and,9,15,26,stockbridg,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (26, 4, 17, 83). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarlonFisher,emh anh,8,16,62,san clement,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (27, 4, 18, 84). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KatherineRichey,famili,9,14,35,ogdensburg nogd nred mill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (28, 4, 19, 85). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
RaiRudrajit,not specifi,10,16,41,columbia,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (29, 4, 20, 86). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Roger Williams,emerg medicin,10,15,37,shumway nshow low,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (30, 4, 21, 80). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Angela Gleisner,physician assist,10,15,53,brookfield,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (31, 4, 22, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Sarah Favila,pediatr,8,16,57,woodland,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (32, 4, 23, 88). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Rachel Lawson,physician assist,10,15,69,battl creek,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (33, 4, 24, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
LaurenDal,cardiovascular diseas,9,14,59,saint loui nclayton nladu nunivers citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (34, 4, 25, 89). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
LaurenDal,intern medicin,8,15,24,saint loui nclayton nladu nunivers citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (34, 4, 25, 73). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
BerthaDe Vries,social worker,9,14,28,rio rancho npanorama height nrancho west,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (36, 4, 26, 90). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Anca Oana Kranz,diagnost radiolog nuclear medicin,9,15,24,mineola,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (37, 4, 27, 91). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
PaulGross,profession counselor,9,16,29,colorado spring,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (38, 4, 28, 92). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KathrynHartman,pediatr,10,15,52,overland park nmerriam noverland nprairi villag nprairi vlg nshawne mission nshawne msn,False,"[42000] [Microsoft][ODBC SQL Server Driver][SQL Server]String or binary data would be truncated in table 'PotatoDataMartv1.dbo.LocationDim', column 'City'. Truncated value: 'overland park nmerriam noverland nprairi villag np'. (2628) (SQLExecDirectW); [42000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Edward Cohn,surgeri vascular surgeri,10,15,45,stillwel nspringfield,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (40, 4, 30, 93). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
LouisFox,surgeri,8,15,21,dalla,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (41, 4, 31, 94). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
AndrewKnoll,diagnost radiolog,10,16,51,irvin,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (42, 4, 32, 95). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
AndrewKnoll,radiolog,10,16,47,irvin,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (42, 4, 32, 96). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarniBonnin,primari care physician emerg medicin,8,16,64,atlanta neast point,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (44, 4, 33, 97). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
SandraMccrary,physician assist,10,16,45,johnson citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (45, 4, 34, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Charlene Lohner,famili practic,10,15,47,columbus nobetz nrees nrees station,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (46, 4, 35, 77). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MadhaviSheth,dentistri,10,15,35,san jose,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (47, 4, 36, 98). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
Henry Handley,physician assist,10,14,40,oklahoma citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (48, 4, 37, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
LoraWalker,physic therapi,9,16,33,woodstock,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (49, 4, 38, 99). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
LindaHackett,lic prof counselor,10,16,25,salt lake citi ns salt lake nsalt lake cti,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (50, 4, 39, 100). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MohammadSamim,radiolog diagnost,9,14,33,brooklyn,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (51, 4, 40, 101). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ElsieRivera,nurs nurs practition,10,16,43,edison,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (52, 4, 41, 102). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
SimashellToussi,pediatr infecti diseas,9,15,33,stoni brook nstonybrook,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (53, 4, 42, 103). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
KaraIskyan,primari care physician emerg medicin,10,16,61,phoenix,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (54, 4, 43, 97). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
JoslinCheverie,surgeri general,9,16,26,los angel,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (55, 4, 44, 104). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ZahidRauf,psychiatri,8,14,32,morehead citi,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (56, 4, 45, 105). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MarkLane,physician assist,8,14,25,antioch,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (57, 4, 46, 87). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
ErnestHoward,physic medicin rehabilit,10,16,69,villa rica,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (58, 4, 47, 106). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
MitchellMiller,famili medicin,9,15,63,circlevill,False,"[23000] [Microsoft][ODBC SQL Server Driver][SQL Server]Violation of PRIMARY KEY constraint 'PK_CostFact'. Cannot insert duplicate key in object 'dbo.CostFact'. The duplicate key value is (59, 4, 48, 107). (2627) (SQLExecDirectW); [23000] [Microsoft][ODBC SQL Server Driver][SQL Server]The statement has been terminated. (3621)"
